	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
CP101161.1_CP101161.1_1	CP101161.1	CP101161.1	1	53	1270	1	C	K03420	proteasome regulatory subunit	MER0412697	M41	MER0412697 - family M41 non-peptidase homologues (Solanum tuberosum) [M41.UNW]#M41#{peptidase unit: 385-549}~source PGSC0003DMP400021722~	False	0.559	123.0	3.416e-28	ATPase family associated with various cellular activities (AAA) [PF00004.32]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; AAA domain (Cdc48 subfamily) [PF07724.17]; AAA+ lid domain [PF17862.4]; AAA domain (dynein-related subfamily) [PF07728.17]; MoxR domain in the MoxR-vWA-beta-propeller ternary systems [PF20030.2]; IstB-like ATP binding protein [PF01695.20]; Sigma-54 interaction domain [PF00158.29]					0
CP101161.1_CP101161.1_2	CP101161.1	CP101161.1	2	1302	1433	-1	E															0
CP101161.1_CP101161.1_3	CP101161.1	CP101161.1	3	1481	3556	-1	E															0
CP101161.1_CP101161.1_4	CP101161.1	CP101161.1	4	3601	3798	-1	D										Family of unknown function (DUF5800) [PF19115.3]					0
CP101161.1_CP101161.1_5	CP101161.1	CP101161.1	5	3921	5087	1	E															0
CP101161.1_CP101161.1_6	CP101161.1	CP101161.1	6	5118	6302	1	C	K06942	ribosome-binding ATPase								GTPase of unknown function C-terminal [PF08438.13]; 50S ribosome-binding GTPase [PF01926.26]; Ferrous iron transport protein B [PF02421.21]; TGS domain [PF02824.24]					0
CP101161.1_CP101161.1_7	CP101161.1	CP101161.1	7	6306	7088	-1	D										ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF08242.15]					0
CP101161.1_CP101161.1_8	CP101161.1	CP101161.1	8	7113	8288	-1	D										UbiA prenyltransferase family [PF01040.21]					0
CP101161.1_CP101161.1_9	CP101161.1	CP101161.1	9	8331	8708	-1	E															0
CP101161.1_CP101161.1_10	CP101161.1	CP101161.1	10	8854	9969	-1	D										Aminotransferase class I and II [PF00155.24]; DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.20]; Beta-eliminating lyase [PF01212.24]; L-seryl-tRNA selenium transferase [PF03841.16]					0
