	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
CP084476.1_CP084476.1_1	CP084476.1	CP084476.1	1	3	839	1	D										AAA domain [PF13614.9]	0
CP084476.1_CP084476.1_2	CP084476.1	CP084476.1	2	836	1255	1	E											0
CP084476.1_CP084476.1_3	CP084476.1	CP084476.1	3	1382	1765	1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
CP084476.1_CP084476.1_4	CP084476.1	CP084476.1	4	1815	1958	1	E											0
CP084476.1_CP084476.1_5	CP084476.1	CP084476.1	5	1959	2318	1	E											0
CP084476.1_CP084476.1_6	CP084476.1	CP084476.1	6	2315	2503	1	E											0
CP084476.1_CP084476.1_7	CP084476.1	CP084476.1	7	2500	2817	1	E											0
CP084476.1_CP084476.1_8	CP084476.1	CP084476.1	8	2814	3098	1	E											0
CP084476.1_CP084476.1_9	CP084476.1	CP084476.1	9	3103	3363	1	E											0
CP084476.1_CP084476.1_10	CP084476.1	CP084476.1	10	3414	3569	-1	E											0
CP084476.1_CP084476.1_11	CP084476.1	CP084476.1	11	3791	4171	1	E											0
CP084476.1_CP084476.1_12	CP084476.1	CP084476.1	12	4176	4442	1	E											0
CP084476.1_CP084476.1_13	CP084476.1	CP084476.1	13	4439	4684	1	E											0
CP084476.1_CP084476.1_14	CP084476.1	CP084476.1	14	4844	5005	-1	E											0
CP084476.1_CP084476.1_15	CP084476.1	CP084476.1	15	4962	5396	-1	E											0
CP084476.1_CP084476.1_16	CP084476.1	CP084476.1	16	5393	5662	-1	E											0
CP084476.1_CP084476.1_17	CP084476.1	CP084476.1	17	5659	5841	-1	E											0
CP084476.1_CP084476.1_18	CP084476.1	CP084476.1	18	5834	6316	-1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]								HNH endonuclease [PF01844.26]; HNH endonuclease [PF14279.9]; Uncharacterized protein containing a Zn-ribbon (DUF2116) [PF09889.12]	1
CP084476.1_CP084476.1_19	CP084476.1	CP084476.1	19	6309	6518	-1	E											0
CP084476.1_CP084476.1_20	CP084476.1	CP084476.1	20	6520	6756	-1	E											0
CP084476.1_CP084476.1_21	CP084476.1	CP084476.1	21	6753	7160	-1	E											0
CP084476.1_CP084476.1_22	CP084476.1	CP084476.1	22	7157	7288	-1	E											0
CP084476.1_CP084476.1_23	CP084476.1	CP084476.1	23	7353	7523	-1	E											0
CP084476.1_CP084476.1_24	CP084476.1	CP084476.1	24	7520	7861	-1	E											0
CP084476.1_CP084476.1_25	CP084476.1	CP084476.1	25	7990	8349	1	E											0
CP084476.1_CP084476.1_26	CP084476.1	CP084476.1	26	8398	8760	1	E											0
CP084476.1_CP084476.1_27	CP084476.1	CP084476.1	27	8764	8970	1	E											0
CP084476.1_CP084476.1_28	CP084476.1	CP084476.1	28	9150	9323	-1	E											0
CP084476.1_CP084476.1_29	CP084476.1	CP084476.1	29	9374	9562	-1	E											0
CP084476.1_CP084476.1_30	CP084476.1	CP084476.1	30	9553	9852	-1	E											0
CP084476.1_CP084476.1_31	CP084476.1	CP084476.1	31	9845	10186	-1	E											0
CP084476.1_CP084476.1_32	CP084476.1	CP084476.1	32	10183	10410	-1	E											0
CP084476.1_CP084476.1_33	CP084476.1	CP084476.1	33	10483	10881	1	E											0
CP084476.1_CP084476.1_34	CP084476.1	CP084476.1	34	10888	11247	1	E											0
CP084476.1_CP084476.1_35	CP084476.1	CP084476.1	35	11244	11384	1	E											0
CP084476.1_CP084476.1_36	CP084476.1	CP084476.1	36	11381	12670	1	D										Phosphoadenosine phosphosulfate reductase family [PF01507.22]	0
