	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
CP019286.1_CP019286.1_1	CP019286.1	CP019286.1	1	2	1036	-1	D										Transposase IS66 family [PF03050.17]	0
CP019286.1_CP019286.1_2	CP019286.1	CP019286.1	2	1365	1733	-1	D										ADP-ribosylglycohydrolase [PF03747.17]	0
CP019286.1_CP019286.1_3	CP019286.1	CP019286.1	3	1693	2898	-1	D										Transposase IS66 family [PF03050.17]	0
CP019286.1_CP019286.1_4	CP019286.1	CP019286.1	4	3227	4264	-1	C	K05521	ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24]								ADP-ribosylglycohydrolase [PF03747.17]	0
CP019286.1_CP019286.1_5	CP019286.1	CP019286.1	5	4380	4961	1	E											0
CP019286.1_CP019286.1_6	CP019286.1	CP019286.1	6	5113	5586	-1	E											0
CP019286.1_CP019286.1_7	CP019286.1	CP019286.1	7	5687	6433	1	E											0
CP019286.1_CP019286.1_8	CP019286.1	CP019286.1	8	6760	9948	1	C	K16899	ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]								PD-(D/E)XK nuclease superfamily [PF12705.10]	0
CP019286.1_CP019286.1_9	CP019286.1	CP019286.1	9	9941	13609	1	C	K16898	ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]								UvrD/REP helicase N-terminal domain [PF00580.24]; UvrD-like helicase C-terminal domain [PF13361.9]; PD-(D/E)XK nuclease superfamily [PF12705.10]; AAA domain [PF13245.9]	0
CP019286.1_CP019286.1_10	CP019286.1	CP019286.1	10	13869	14090	1	E											0
CP019286.1_CP019286.1_11	CP019286.1	CP019286.1	11	14105	14419	-1	E											0
CP019286.1_CP019286.1_12	CP019286.1	CP019286.1	12	14510	14839	-1	E											0
CP019286.1_CP019286.1_13	CP019286.1	CP019286.1	13	15083	16363	-1	C	K10725	archaeal cell division control protein 6								AAA domain [PF13401.9]; AAA ATPase domain [PF13191.9]	0
CP019286.1_CP019286.1_14	CP019286.1	CP019286.1	14	17228	18196	-1	E											0
CP019286.1_CP019286.1_15	CP019286.1	CP019286.1	15	18846	20186	-1	E											0
CP019286.1_CP019286.1_16	CP019286.1	CP019286.1	16	20437	21345	1	C	K01990	ABC-2 type transport system ATP-binding protein								ABC transporter [PF00005.30]; Domain of unknown function (DUF4162) [PF13732.9]	0
CP019286.1_CP019286.1_17	CP019286.1	CP019286.1	17	21342	22157	-1	E											0
CP019286.1_CP019286.1_18	CP019286.1	CP019286.1	18	22448	23122	-1	E											0
CP019286.1_CP019286.1_19	CP019286.1	CP019286.1	19	23177	23320	-1	E											0
CP019286.1_CP019286.1_20	CP019286.1	CP019286.1	20	23568	23978	1	E											0
CP019286.1_CP019286.1_21	CP019286.1	CP019286.1	21	24076	24321	1	E											0
CP019286.1_CP019286.1_22	CP019286.1	CP019286.1	22	24491	24712	1	E											0
CP019286.1_CP019286.1_23	CP019286.1	CP019286.1	23	25198	26340	1	D										Phage integrase family [PF00589.25]	0
CP019286.1_CP019286.1_24	CP019286.1	CP019286.1	24	26403	26579	1	E											0
CP019286.1_CP019286.1_25	CP019286.1	CP019286.1	25	26576	26725	1	E											0
CP019286.1_CP019286.1_26	CP019286.1	CP019286.1	26	26732	26968	-1	E											0
CP019286.1_CP019286.1_27	CP019286.1	CP019286.1	27	27024	28016	1	D										HEAT repeats [PF13646.9]	0
CP019286.1_CP019286.1_28	CP019286.1	CP019286.1	28	28025	28387	-1	C	K08982	putative membrane protein								Helix-hairpin-helix motif [PF12826.10]	0
CP019286.1_CP019286.1_29	CP019286.1	CP019286.1	29	28390	28572	-1	E											0
CP019286.1_CP019286.1_30	CP019286.1	CP019286.1	30	28569	29069	-1	E											0
CP019286.1_CP019286.1_31	CP019286.1	CP019286.1	31	29073	29312	-1	E											0
CP019286.1_CP019286.1_32	CP019286.1	CP019286.1	32	29309	30118	-1	E											0
