AQM75287.1	WP_176580080.1	100	430	0	0	1	430	1	430	1.55e-295	811
AQM75287.1	WP_088901272.1	99.3	430	3	0	1	430	1	430	1.21e-292	804
AQM75287.1	WP_157884851.1	84.1	434	62	4	1	430	1	431	2.32e-242	677
AQM75287.1	WP_004048500.1	96.0	248	10	0	183	430	1	248	1.11e-160	463
WP_004048500.1	WP_004048500.1	100	248	0	0	1	248	1	248	1.12e-169	478
WP_004048500.1	WP_088901272.1	96.0	248	10	0	1	248	183	430	4.50e-161	463
WP_004048500.1	WP_176580080.1	96.0	248	10	0	1	248	183	430	4.50e-161	463
WP_004048500.1	WP_157884851.1	89.9	248	25	0	1	248	184	431	6.70e-149	432
WP_012946162.1	WP_012946162.1	100	418	0	0	1	418	1	418	2.12e-280	772
WP_012946162.1	WP_006111401.1	76.8	418	91	1	1	418	1	412	1.47e-214	605
WP_012946162.1	WP_006665487.1	76.6	418	92	1	1	418	1	412	2.96e-214	605
WP_012946162.1	WP_049967315.1	75.5	417	96	2	2	418	3	413	1.68e-211	598
WP_012946162.1	WP_226043403.1	75.3	421	96	3	2	418	3	419	4.89e-210	594
WP_012946162.1	WP_049895738.1	71.3	418	120	0	1	418	1	418	4.44e-201	572
WP_049895738.1	WP_049895738.1	100	418	0	0	1	418	1	418	6.21e-289	794
WP_049895738.1	WP_006665487.1	74.2	418	102	1	1	418	1	412	2.42e-213	602
WP_049895738.1	WP_006111401.1	73.9	418	103	1	1	418	1	412	2.81e-212	600
WP_049895738.1	WP_012946162.1	71.3	418	120	0	1	418	1	418	1.09e-201	573
WP_049895738.1	WP_049967315.1	67.9	417	128	2	2	418	3	413	1.03e-186	535
WP_006665487.1	WP_006665487.1	100	412	0	0	1	412	1	412	1.14e-281	775
WP_006665487.1	WP_006111401.1	99.0	412	4	0	1	412	1	412	3.13e-279	769
WP_006665487.1	WP_012946162.1	76.6	418	92	1	1	412	1	418	2.05e-214	605
WP_006665487.1	WP_049895738.1	74.2	418	102	1	1	412	1	418	9.69e-213	601
WP_006665487.1	WP_049967315.1	74.6	414	99	2	2	412	3	413	1.88e-204	580
WP_006665487.1	WP_226043403.1	73.3	423	98	4	1	412	1	419	4.46e-202	574
WP_006665487.1	WP_178289021.1	44.8	362	196	3	46	404	45	405	1.07e-90	290
WP_049967315.1	WP_049967315.1	100	413	0	0	1	413	1	413	1.29e-283	780
